borough,block,lot,address,zip_code,development,managed_by,cd,facility,borocode,bbl
BROOKLYN,3544,1,325 BLAKE AVENUE,11212,BROWNSVILLE,BROWNSVILLE,16,DEVELOPMENT MAINTENANCE OFFICE,3,3035440001
BROOKLYN,7387,1,2954 AVENUE V,11229,SHEEPSHEAD BAY,SHEEPSHEAD BAY,15,PLAYGROUND (MANAGED BY NYC DEPARTMENT OF PARKS & RECREATION),3,3073870001
BROOKLYN,7405,1001,2978 AVENUE W,11229,SHEEPSHEAD BAY,SHEEPSHEAD BAY,15,,3,3074051001
MANHATTAN,260,1,72 GOUVERNEUR STREET,10002,VLADECK,VLADECK,3,,1,1002600001
BRONX,4581,1,1161 ADEE AVENUE,10469,EASTCHESTER GARDENS,EASTCHESTER GARDENS,11,PLAYGROUND (MANAGED BY NYC DEPARTMENT OF PARKS & RECREATION),2,2045810001
STATEN ISLAND,3243,100,100 KRAMER STREET,10305,SOUTH BEACH,SOUTH BEACH,2,,5,5032430100
BRONX,4444,1,2450 BRONXWOOD AVENUE,10469,PELHAM PARKWAY,PELHAM PARKWAY,11,GARDEN SHOP/ DISASTER VAULT,2,2044440001
BROOKLYN,2040,1,32 AUBURN PLACE,11205,WHITMAN,WHITMAN,2,ELEVATOR SHOP,3,3020400001
BROOKLYN,7140,16,2740 86TH STREET,11223,MARLBORO,MARLBORO,13,DEVELOPMENT MANAGEMENT OFFICE,3,3071400016
MANHATTAN,1684,1,2235 1ST AVENUE,10029,JEFFERSON,JEFFERSON,11,,1,1016840001
QUEENS,15501,2,14-56 BEACH CHANNEL DRIVE,11691,REDFERN,REDFERN,14,DEVELOPMENT MANAGEMENT OFFICE,4,4155010002
STATEN ISLAND,1245,1,153 BRABANT STREET,10303,MARINER'S HARBOR,MARINER'S HARBOR,1,,5,5012450001
STATEN ISLAND,3532,500,20 DONGAN HILLS AVENUE,10306,BERRY,BERRY,2,DEVELOPMENT MAINTENANCE OFFICE,5,5035320500
BROOKLYN,3489,1,1620 EAST NEW YORK AVENUE,11212,HOWARD,HOWARD,16,COMMUNITY OPERATIONS SPACE (VACANT),3,3034890001
BROOKLYN,8193,1,757 EAST 105TH STREET,11236,BREUKELEN,BREUKELEN,18,,3,3081930001
MANHATTAN,2106,320,159-04 HARLEM RIVER DRIVE,10039,RANGEL,RANGEL,10,COMMERCIAL SPACE (STORE #1),1,1021060320
STATEN ISLAND,706,1,30 LA GUARDIA AVENUE,10314,TODT HILL,TODT HILL,2,STATEN ISLAND SKILLED TRADES SHOPS,5,5007060001
BROOKLYN,6964,2,3144 BAYVIEW AVENUE,11224,GRAVESEND,O'DWYER GARDENS,13,,3,3069640002
MANHATTAN,260,75,61 JACKSON STREET,10002,VLADECK,VLADECK,3,,1,1002600075
MANHATTAN,2016,60,2653 A C POWELL BOULEVARD,10039,HARLEM RIVER,HARLEM RIVER,10,,1,1020160060
QUEENS,15892,1,55-00 ARVERNE BOULEVARD,11692,OCEAN BAY APARTMENTS (OCEANSIDE),BEACH 41ST STREET-BEACH CHANNEL DRIVE,14,PLAYGROUND (MANAGED BY NYC DEPARTMENT OF PARKS & RECREATION),4,4158920001
QUEENS,16114,2,220 BEACH 86TH STREET,11693,HAMMEL,HAMMEL,14,DEVELOPMENT MAINTENANCE OFFICE,4,4161140002
BRONX,2626,1,845 CAULDWELL AVENUE,10456,SOUTH BRONX AREA (SITE 402),UNION AVENUE CONSOLIDATED,1,MAINTENANCE SHOP,2,2026260001
BRONX,4349,1,780 ASTOR AVENUE,10467,PELHAM PARKWAY,PELHAM PARKWAY,11,,2,2043490001
BROOKLYN,1580,1,4 LEWIS AVENUE,11206,SUMNER,SUMNER,3,,3,3015800001
BROOKLYN,1740,1,921 MYRTLE AVENUE,11206,TOMPKINS,TOMPKINS,3,BOILER,3,3017400001
BROOKLYN,2867,1,50 DEBEVOISE AVENUE,11211,COOPER PARK,COOPER PARK,1,BRICKLAYERS SHOP/ CARPENTERS SHOP/ PLASTERERS SHOP/ PLUMBERS SHOP/ ROOFER SHOP,3,3028670001
BROOKLYN,8174,1,671 EAST 105TH STREET,11236,BREUKELEN,BREUKELEN,18,,3,3081740001
MANHATTAN,1618,1,1345 5TH AVENUE,10029,TAFT,TAFT,11,,1,1016180001
MANHATTAN,1808,1, ,10035,WAGNER,WAGNER,11,GARAGE,1,1018080001
BRONX,3886,2,1460 BRONX RIVER AVENUE,10472,BRONX RIVER,BRONX RIVER,9,BULK STOREROOM/ MAINTENANCE SHOP/ STOREROOM,2,2038860002
BROOKLYN,1938,1,325 CLASSON AVENUE,11205,LAFAYETTE,LAFAYETTE,3,,3,3019380001
BROOKLYN,4355,1,842 ASHFORD STREET,11207,BOULEVARD,BOULEVARD,5,HEATING DEPOT STOREROOM,3,3043550001
BROOKLYN,4377,1,872 ASHFORD STREET,11207,BOULEVARD,BOULEVARD,5,,3,3043770001
BROOKLYN,7389,1,3004 AVENUE V,11229,NOSTRAND,SHEEPSHEAD BAY,15,,3,3073890001
QUEENS,736,2,32-20 51ST STREET,11377,WOODSIDE,WOODSIDE,1,,4,4007360002
STATEN ISLAND,545,100,210 BROAD STREET,10304,STAPLETON,STAPLETON,1,DEVELOPMENT MANAGEMENT OFFICE,5,5005450100
BRONX,2269,100,400 BROOK AVENUE,10454,BETANCES I,BETANCES,1,BOILER,2,2022690100
BRONX,2413,1,681 COURTLANDT AVENUE,10451,MELROSE,MELROSE,1,,2,2024130001
BRONX,3725,1,1065 BEACH AVENUE,10472,SOTOMAYOR HOUSES,SOTOMAYOR HOUSES,9,DAY CARE CENTER,2,2037250001
BROOKLYN,3129,1,424 BUSHWICK AVENUE,11206,BUSHWICK,BUSHWICK,1,,3,3031290001
BROOKLYN,3334,1,1387 GATES AVENUE,11221,BUSHWICK II CDA (GROUP E),HOPE GARDENS,4,DEVELOPMENT GROUNDS,3,3033340001
MANHATTAN,2216,1,3716 10TH AVENUE,10034,DYCKMAN,DYCKMAN,12,,1,1022160001
BRONX,2311,1,215 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,1,HEATING STOREROOM/ JANITORIAL STORE ROOM/ MAINTENANCE SHOP/ MAINTENANCE STORE ROOM,2,2023110001
BRONX,2395,1,421 EAST 168TH STREET,10456,WEBSTER,WEBSTER,3,BOILER,2,2023950001
BRONX,3637,1,872 ROSEDALE AVENUE,10473,MONROE,MONROE,9,CARETAKER X-SHOP,2,2036370001
BRONX,5567,1,2780 RANDALL AVENUE,10465,THROGGS NECK,THROGGS NECK,10,POLICE SERVICE AREA #8 STORAGE ROOM,2,2055670001
BROOKLYN,404,1,420 BALTIC STREET,11217,GOWANUS,GOWANUS,6,SENIOR CENTER,3,3004040001
BROOKLYN,3325,1,242 GROVE STREET,11237,BUSHWICK II CDA (GROUP E),HOPE GARDENS,4,,3,3033250001
BROOKLYN,7408,1,3040 AVENUE W,11229,NOSTRAND,SHEEPSHEAD BAY,15,,3,3074080001
BROOKLYN,8158,205,711 EAST 108TH STREET,11236,BREUKELEN,BREUKELEN,18,,3,3081580205
MANHATTAN,1204,21,15 WEST 90TH STREET,10024,WSUR (BROWNSTONES),WISE TOWERS,7,,1,1012040021
MANHATTAN,1662,1,2237 2ND AVENUE,10029,JEFFERSON,JEFFERSON,11,ELEVATOR MECHANIC SHOP,1,1016620001
QUEENS,470,1,40-01 VERNON BOULEVARD,11101,QUEENSBRIDGE NORTH,QUEENSBRIDGE NORTH,1,,4,4004700001
QUEENS,470,200,40-01 12TH STREET,11101,QUEENSBRIDGE NORTH,QUEENSBRIDGE NORTH,1,,4,4004700200
STATEN ISLAND,1248,200,168 BRABANT STREET,10303,MARINER'S HARBOR,MARINER'S HARBOR,1,,5,5012480200
BRONX,4905,360,1225 EAST 225TH STREET,10466,BAYCHESTER,BOSTON SECOR,12,MAINTENANCE SHOP,2,2049050360
BROOKLYN,3777,1,376 BLAKE AVENUE,11212,VAN DYKE I,VAN DYKE I,16,,3,3037770001
MANHATTAN,1933,1,2160 A C POWELL BOULEVARD,10027,SAINT NICHOLAS,SAINT NICHOLAS,10,PLAYGROUND (MANAGED BY NYC DEPARTMENT OF PARKS & RECREATION),1,1019330001
QUEENS,335,2,35-35 21ST STREET,11106,RAVENSWOOD,RAVENSWOOD,1,,4,4003350002
QUEENS,559,2,34-03 21ST STREET,11106,RAVENSWOOD,RAVENSWOOD,1,PLASTERERS SHOP/ SPRAY SHOP/ STORAGE,4,4005590002
BRONX,2325,1,2595 3RD AVENUE,10451,PATTERSON,PATTERSON,1,,2,2023250001
BRONX,2639,1,765 EAST 163RD STREET,10456,FOREST,FOREST,3,,2,2026390001
BRONX,2680,1,815 EAST 166TH STREET,10459,UNION AVENUE-EAST 166TH STREET,UNION AVENUE CONSOLIDATED,3,BOILER,2,2026800001
BRONX,2696,5,820 HEWITT PLACE,10459,STEBBINS AVENUE-HEWITT PLACE,UNION AVENUE CONSOLIDATED,2,,2,2026960005
BROOKLYN,3760,1,421 BLAKE AVENUE,11212,VAN DYKE I,VAN DYKE I,16,,3,3037600001
BROOKLYN,4371,1,570 STANLEY AVENUE,11207,LINDEN,LINDEN,5,BRICKLAYERS SHOP,3,3043710001
MANHATTAN,1596,1,1350 5TH AVENUE,10026,KING TOWERS,KING TOWERS,10,,1,1015960001
MANHATTAN,1757,1,2175 5TH AVENUE,10037,LINCOLN,LINCOLN,11,,1,1017570001
QUEENS,332,2,35-37 12TH STREET,11106,RAVENSWOOD,RAVENSWOOD,1,,4,4003320002
BRONX,2291,23,433 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,,2,2022910023
BRONX,2304,1,340 ALEXANDER AVENUE,10454,MOTT HAVEN,MOTT HAVEN,1,BOILER,2,2023040001
BRONX,2877,1,1551 UNIVERSITY AVENUE,10453,SEDGWICK,SEDGWICK,5,,2,2028770001
BRONX,2895,1,409 EAST 170TH STREET,10456,BUTLER,BUTLER,3,CARPENTERS SHOP/ ELEVATOR SHOP/ STOREROOM,2,2028950001
BRONX,4629,50,712 GUN HILL ROAD,10467,GUN HILL,GUN HILL,12,,2,2046290050
BROOKLYN,392,1,423 BALTIC STREET,11217,GOWANUS,GOWANUS,6,MAINTENANCE STORAGE/ GROUNDS STORAGE,3,3003920001
BROOKLYN,557,1,82 DWIGHT STREET,11231,RED HOOK WEST,RED HOOK WEST,6,BOILER,3,3005570001
BROOKLYN,7137,1,30 AVENUE V,11223,MARLBORO,MARLBORO,13,,3,3071370001
MANHATTAN,255,1,220 CHERRY STREET,10002,RUTGERS,RUTGERS,3,DEVELOPMENT MAINTENANCE SHOP,1,1002550001
MANHATTAN,430,10,29 AVENUE A,10009,FIRST HOUSES,LOWER EAST SIDE CONSOLIDATED,3,COMMERCIAL SPACE (STORE #1),1,1004300010
MANHATTAN,1573,1,1830 1ST AVENUE,10128,ISAACS,ISAACS,8,,1,1015730001
STATEN ISLAND,196,1,210 BROADWAY,10310,WEST BRIGHTON I,WEST BRIGHTON I,1,DEVELOPMENT MANAGEMENT OFFICE/ ROOFTOP LEASE LOCATION,5,5001960001
BRONX,2215,116,5210 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,ROOFTOP LEASE LOCATION,2,2022150116
BRONX,2324,1,2715 3RD AVENUE,10451,PATTERSON,PATTERSON,1,BRICKLAYERS SHOP/ CARPENTERS SHOP,2,2023240001
BRONX,2928,28,3820 3RD AVENUE,10457,CLAREMONT PARKWAY-FRANKLIN AVENUE,UNION AVENUE CONSOLIDATED,3,LAUNDRY ROOM,2,2029280028
BRONX,3143,155,355 EAST 183RD STREET,10458,TWIN PARKS WEST (SITES 1 & 2),TWIN PARKS CONSOLIDATED,5,COMMUNITY OPERATIONS SPACE (VACANT),2,2031430155
BRONX,3723,1,1725 BRUCKNER BOULEVARD,10472,SOTOMAYOR HOUSES,SOTOMAYOR HOUSES,9,,2,2037230001
BROOKLYN,1470,3,547 RALPH AVENUE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014700003
BROOKLYN,1749,15,54 MARCUS GARVEY BOULEVARD,11206,SUMNER,SUMNER,3,,3,3017490015
MANHATTAN,375,1,84 AVENUE C,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,STOREROOM,1,1003750001
MANHATTAN,1640,1,123 EAST 112TH STREET,10029,JOHNSON,JOHNSON,11,CABINET STOREROOM/ BAGS STOREROOM,1,1016400001
MANHATTAN,1836,1,825 COLUMBUS AVENUE,10025,DOUGLASS I,DOUGLASS,7,,1,1018360001
BRONX,2298,40,200 ALEXANDER AVENUE,10454,MITCHEL,MITCHEL,1,DAY CARE CENTER,2,2022980040
BRONX,2894,1,1320 WEBSTER AVENUE,10456,BUTLER,BUTLER,3,SENIOR CENTER,2,2028940001
BRONX,2989,11,1550 HOE AVENUE,10460,EAST 173RD STREET-VYSE AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),3,,2,2029890011
BROOKLYN,1470,37,500 HOWARD AVENUE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,DEVELOPMENT GROUNDS,3,3014700037
BROOKLYN,3512,21,571 HOWARD AVENUE,11212,HOWARD AVENUE,PARK ROCK CONSOLIDATED,16,,3,3035120021
BROOKLYN,3576,1,282 DUMONT AVENUE,11212,TILDEN,TILDEN,16,DEVELOPMENT MANAGEMENT OFFICE (UNDER CONSTRUCTION)/ LAUNDRY ROOM,3,3035760001
MANHATTAN,362,1,80 AVENUE D,10009,RIIS II,RIIS,3,COMMUNITY CENTER,1,1003620001
MANHATTAN,367,1,152 AVENUE D,10009,RIIS,RIIS,3,COMMUNITY OPERATIONS SPACE (VACANT),1,1003670001
MANHATTAN,378,1,130 AVENUE C,10009,POLICE SERVICE AREA #4,NYPD HOUSING BUREAU,3,PSA #4 PRECINCT HOUSE (PRIMARY ADDRESS)/ BOILER,1,1003780001
MANHATTAN,1605,24,60 EAST 102ND STREET,10029,CARVER,CARVER,11,BOILER/ SECONDARY STOREROOM,1,1016050024
MANHATTAN,1673,6,307 EAST 101ST STREET,10029,METRO NORTH PLAZA,WILSON,11,,1,1016730006
MANHATTAN,2033,1,2770 FREDERICK DOUGLASS BOULEVARD,10039,POLICE SERVICE AREA #6,NYPD HOUSING BUREAU,10,PSA #6 PRECINCT HOUSE (PRIMARY ADDRESS)/ BOILER,1,1020330001
BRONX,2402,17,389 EAST 155TH STREET,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,1,PSA #7 PARKING LOT,2,2024020017
BRONX,2416,1,785 COURTLANDT AVENUE,10451,JACKSON,MORRISANIA AIR RIGHTS,1,CARPENTERS SHOP,2,2024160001
BRONX,2527,32,1065 UNIVERSITY AVENUE,10452,HIGHBRIDGE GARDENS,HIGHBRIDGE GARDENS,4,CARPENTERS SHOP/ GROUNDS SHOP/ CONTRACTOR PAINT SHOP/ NYCHA PAINT SHOP,2,2025270032
BRONX,3515,1,1711 LACOMBE AVENUE,10473,SOUNDVIEW,SOUNDVIEW,9,,2,2035150001
BRONX,3570,1,615 CASTLE HILL AVENUE,10473,CASTLE HILL,CASTLE HILL,9,,2,2035700001
BROOKLYN,394,1,130 3RD AVENUE,11217,WYCKOFF GARDENS,WYCKOFF GARDENS,6,BRICKLAYERS SHOP,3,3003940001
BROOKLYN,3341,1,400 CENTRAL AVENUE,11221,BUSHWICK II (GROUPS B & D),HOPE GARDENS,4,BOILER,3,3033410001
BROOKLYN,3526,21,291 SUTTER AVENUE,11212,HUGHES APARTMENTS,HUGHES APARTMENTS,16,,3,3035260021
BROOKLYN,3727,1,131 BELMONT AVENUE,11212,LOW HOUSES,LOW HOUSES,16,BULK STORAGE,3,3037270001
BROOKLYN,3785,15,570 BLAKE AVENUE,11207,UNITY PLAZA (SITES 4-27),UNITY PLAZA,5,,3,3037850015
BROOKLYN,4480,4,1052 HEGEMAN AVENUE,11208,EAST NEW YORK CITY LINE,CYPRESS HILLS,5,,3,3044800004
BROOKLYN,4488,1,2700 LINDEN BOULEVARD,11208,PINK,PINK,5,DAY CARE CENTER,3,3044880001
BROOKLYN,7048,15,2975 WEST 33RD STREET,11224,O'DWYER GARDENS,O'DWYER GARDENS,13,EXTERMINATOR SHOP/PAINT SHOP/ CONTRACTOR SHOP A AND B/ PLASTERERS SHOP,3,3070480015
BROOKLYN,7070,1,2410 SURF AVENUE,11224,HABER,CAREY GARDENS,13,LAUNDRY ROOM,3,3070700001
BROOKLYN,8191,1,757 EAST 103RD STREET,11236,BREUKELEN,BREUKELEN,18,ROOFTOP LEASE LOCATION,3,3081910001
MANHATTAN,362,10,118 AVENUE D,10009,RIIS,RIIS,3,STOREROOM,1,1003620010
MANHATTAN,1224,16,125 WEST 93RD STREET,10025,WSUR (BROWNSTONES),WISE TOWERS,7,,1,1012240016
MANHATTAN,1640,21,2070 3RD AVENUE,10029,JOHNSON,JOHNSON,11,,1,1016400021
MANHATTAN,1797,1,2365 1ST AVENUE,10035,WAGNER,WAGNER,11,EMERGENCY SERVICE SQUAD,1,1017970001
MANHATTAN,1933,50,2410 FREDERICK DOUGLASS BOULEVARD,10027,SAINT NICHOLAS,SAINT NICHOLAS,10,,1,1019330050
MANHATTAN,1984,1,1420 AMSTERDAM AVENUE,10027,MANHATTANVILLE,MANHATTANVILLE,9,LAUNDRY ROOM/ REFRIGERATOR/STOVE STOREROOM,1,1019840001
QUEENS,523,2,34-33 12TH STREET,11106,RAVENSWOOD,RAVENSWOOD,1,LAUNDRY ROOM,4,4005230002
QUEENS,4951,8,34-20 137TH STREET,11354,LATIMER GARDENS,LATIMER GARDENS,7,BROOKLYN/QUEENS & STATEN ISLAND REPAIR UNIT (CARPENTERS SHOP/ ELEVATOR SHOP/ EXTERMINATOR SHOP/ NYCHA PAINT SHOP/ PLASTERERS SHOP),4,4049510008
QUEENS,5037,8,40-21 COLLEGE POINT BOULEVARD,11354,BLAND,LATIMER GARDENS,7,MAINTENANCE STOREROOM,4,4050370008
QUEENS,12148,100,159-02 109TH AVENUE,11433,SOUTH JAMAICA II,SOUTH JAMAICA I,12,,4,4121480100
QUEENS,15955,3,455 BEACH 38TH STREET,11691,BEACH 41ST STREET-BEACH CHANNEL DRIVE,BEACH 41ST STREET-BEACH CHANNEL DRIVE,14,,4,4159550003
BRONX,2628,1,670 CAULDWELL AVENUE,10455,SAINT MARY'S PARK,SAINT MARY'S PARK,1,DEVELOPMENT MAINTENANCE OFFICE/ BOILER,2,2026280001
BRONX,2654,2,735 EAST 152ND STREET,10455,ADAMS,ADAMS,1,SENIOR CENTER,2,2026540002
BRONX,2756,10,1040 BRYANT AVENUE,10459,EAST 165TH STREET-BRYANT AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,,2,2027560010
BRONX,2988,18,1475 VYSE AVENUE,10460,EAST 173RD STREET-VYSE AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),3,,2,2029880018
BRONX,5263,70,3540 BIVONA STREET,10475,BOSTON SECOR,BOSTON SECOR,12,COMMUNITY CENTER / SENIOR CENTER,2,2052630070
BROOKLYN,1341,12,1620 PACIFIC STREET,11213,WEEKSVILLE GARDENS,ALBANY,8,,3,3013410012
BROOKLYN,1352,80,205 ALBANY AVENUE,11213,ALBANY,ALBANY,8,ELEVATOR SHOP,3,3013520080
BROOKLYN,1470,59,1681 SAINT JOHNS PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,BOILER,3,3014700059
BROOKLYN,1597,1,919 DEKALB AVENUE,11221,ROOSEVELT I,ROOSEVELT,3,STOREROOM/ PLUMBERS SHOP/ ELEVATOR SHOP,3,3015970001
BROOKLYN,1798,20,534 GREENE AVENUE,11216,MARCY AVENUE-GREENE AVENUE SITE A,KRAUS MANAGEMENT (PRIVATE - M/B 1),3,,3,3017980020
BROOKLYN,2176,1,114 TAYLOR STREET,11249,INDEPENDENCE,TAYLOR STREET-WYTHE AVENUE,1,COMMUNITY CENTER/ SENIOR CENTER,3,3021760001
BROOKLYN,3709,1,108 CHRISTOPHER AVENUE,11212,GLENMORE PLAZA,LOW HOUSES,16,BOILER/ STORAGE ROOM,3,3037090001
BROOKLYN,4369,1,875 PENNSYLVANIA AVENUE,11207,PENNSYLVANIA AVENUE-WORTMAN AVENUE,PENNSYLVANIA-WORTMAN,5,BOILER/ ROOFTOP LEASE LOCATION,3,3043690001
BROOKLYN,4393,1,245 COZINE AVENUE,11207,LINDEN,LINDEN,5,,3,3043930001
MANHATTAN,256,1,300 CHERRY STREET,10002,LA GUARDIA,LA GUARDIA,3,BOILER/ LAUNDRY ROOM,1,1002560001
MANHATTAN,396,10,633 EAST 13TH STREET,10009,CAMPOS PLAZA II,LOWER EAST SIDE CONSOLIDATED,3,,1,1003960010
MANHATTAN,714,31,401 WEST 16TH STREET,10011,FULTON,FULTON,4,,1,1007140031
MANHATTAN,715,10,117 9TH AVENUE,10011,FULTON,FULTON,4,,1,1007150010
MANHATTAN,1647,1,1893 2ND AVENUE,10029,WASHINGTON,WASHINGTON,11,DAY CARE CENTER,1,1016470001
MANHATTAN,1757,20,60 EAST 135TH STREET,10037,LINCOLN,LINCOLN,11,SENIOR CENTER,1,1017570020
MANHATTAN,1980,1,1320 AMSTERDAM AVENUE,10027,GRANT,GRANT,9,DEVELOPMENT MANAGEMENT OFFICE/ BOILER,1,1019800001
MANHATTAN,2028,16,2444 A C POWELL BOULEVARD,10030,DREW-HAMILTON,DREW-HAMILTON,10,COMMERCIAL SPACE (STORE #1),1,1020280016
QUEENS,10127,1,159-11 107TH AVENUE,11433,SOUTH JAMAICA II,SOUTH JAMAICA I,12,,4,4101270001
QUEENS,10146,51,108-02 159TH STREET,11433,SOUTH JAMAICA I,SOUTH JAMAICA I,12,PLASTERERS SHOP/ STOREROOM,4,4101460051
BRONX,2548,1,585 EAST 135TH STREET,10454,MILL BROOK,MILL BROOK,1,,2,2025480001
BRONX,2557,83,694 EAST 149TH STREET,10455,MOORE,SAINT MARY'S PARK,1,,2,2025570083
BRONX,2638,90,725 EAST 161ST STREET,10456,MCKINLEY,FOREST,3,MAINTENANCE SHOP/ STOREROOM,2,2026380090
BRONX,2910,1,3661 3RD AVENUE,10456,MORRIS I,MORRIS,3,DEVELOPMENT MAINTENANCE AREA,2,2029100001
BRONX,2911,1,3711 3RD AVENUE,10456,MORRIS II,MORRIS,3,PLAYGROUND (MANAGED BY NYC DEPARTMENT OF PARKS & RECREATION),2,2029110001
